what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1422610600413
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1422610600538
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1422610600882
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422610601070
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1422610601460
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1422610601523
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1422610601804
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1422610601835
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1422610601835
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422610602320
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1422610602632
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1422610602632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610620664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610622914
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1422610622992
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422610623664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610624867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610635288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610645429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610648216
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1422610651843
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422610655898
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422610656055
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422610658930
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1422610661227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610676350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610676365
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1422610692085
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1422610692116
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422610694488
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1422610695863
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422610702223
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1422610761515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610772456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610775196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610777008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610883446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610885243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610887009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422610888056
